icon,name,description
droplets,Water Supply,Municipal water supply connection for every plot
zap,Electricity & Street Lights,Underground electrical cabling with street lighting throughout
shield,KUDA Approved,Fully approved by Kurnool Urban Development Authority
waves,Swimming Pool,Community swimming pool within the layout
road,30' & 40' Roads,Wide BT roads with proper drainage and markings
trees,Children's Play Area,Dedicated play area for children within the community
landmark,Cricket Net,Full cricket net practice facility
sun,Shuttle Court,Badminton shuttle court for residents
map-pin,Compound Wall,Secured perimeter compound wall around the layout
phone,Open Air Theatre,Open air theatre for community events and gatherings
trees,Avenue Plantation,Tree-lined avenues for a green and serene environment
home,Farm House,Farm house plots available within the layout
